Kanji,Meaning,Radicals,Sound
塀,Fence,Dirt + Flag + Horns + Lantern,へい
如,Likeness,Woman + Mouth,どう
虹,Rainbow,Insect + Construction,にじ
婆,Old Woman,Wave + Woman *,ばあ
哀,Pathetic,Lid + Mouth + Kick,あわ
挿,Insert,Fingers + Thousand + Humble,さし
霧,Fog,Rain + Task *,きり
炊,Cook,Fire + Lack,た
伊,Italy,Leader + Wolverine + Slide,い
滴,Drip,Tsunami + Mohawk,てき
扇,Folding Fan,Door + Feathers,せん
尺,"Shaku, Japanese Foot",Shrimp,しゃく
胴,Torso,Moon + Same *,どう
箸,Chopsticks,Bamboo + Someone *,はし
瞭,Clear,Eye + Charcoal,りょう
砕,Smash,Stone + Nine + Cross,くだ
柳,Willow,Tree + Stamp,やなぎ
詐,Lie,Say + Key,さ
畳,Tatami Mat,Rice Paddy + Forehead + Top Hat,たた
佐,Help,Leader + Narwhal + Construction,さ
班,Squad,King + Knife + King,はん
穫,Harvest,Grain + Flowers + Turkey + Stool,かく
殴,Assault,District + Weapon *,なぐ
彩,Coloring,Cleat + Tree + Hair,さい
耐,Resistant,Rake + Measurement,たい
脅,Threaten,Powerx3 + Moon,きょう
辱,Humiliate,Landslide + Measurement,じょく
闇,Darkness,Gate + Sound *,やみ
盾,Shield,Cliff + Pope,じゅん
蛇,Snake,Insect + Roof + Spoon,へび
蓄,Amass,Flowers + Mysterious + Rice Paddy,たくわ
塗,Paint,Tsunami + Surplus + Dirt *,ぬ
畜,Livestock,Mysterious + Rice Paddy,ちく
灯,Lamp,Fire + Street,とう
悔,Regret,Soul + Every *,くや
憶,Recollection,Soul + Idea **,おく
溶,Melt,Tsunami + Form **,よう
培,Cultivate,Dirt + Clown,ばい
輝,Radiance,Sunlight + Forehead + Car *,かがや
飢,Starve,Eat + Table,う
踊,Dance,Foot + Mama + Task,おど
賢,Clever,Servant + Stool + Shellfish,かしこ
咲,Blossom,Mouth + Horns + Heaven,さ
餓,Starve,Eat + Ego,う
脇,Armpit,Moon + Powerx3,わき
遂,Accomplish,Treadmill + Horns + Pig,と
斜,Diagonal,Surplus + ladle *,しゃ
蚊,Mosquito,Insect + Writing,か
迅,Swift,Treadmill + Cliff + Cross,じん
霜,Frost,Rain + Tree + Eye,しも
鉢,Bowl,Gold + book,はち
貼,Paste,Shellfish + Fortune,は
隙,Crevice,Building + Small + Sun + Small,すき
尽,Exhaust,Shrimp + Two,つ
麻,Hemp,Mullet + Treex2,ま
騎,Horse,Horse + Odd *,き
帳,Notebook,Towel + Long,ちょう
陛,Highness,Building + Compare + Dirt,へい
劣,Inferiority,Few + Power *,れっ
抽,Pluck,Fingers + Reason *,ちゅう
桑,Mulberry,Stoolx3 + Tree,くわ
衰,Decline,Lid + Sun + Kick,すい
潤,Watered,Tsunami + Gate + King,じゅん
尼,Nun,Flag + Spoon,に
紫,Purple,Stop + Spoon + Thread,むらさき
駒,Chess Piece,Horse + Paragraph,こま
謀,Conspire,Say + Sweet + Tree,ぼう
拘,Arrest,Fingers + Paragraph,こう
俗,Vulgar,Leader + Valley *,ぞく
刈,Prune,Treasure + Knife,か
陶,Pottery,Building + Prison + Can,とう
礎,Foundation,Stone + Tree + Coat Rack,そ
壇,Podium,Dirt + Lid + Times + Dawn *,だん
隔,Isolate,Building + bully,かく
鶴,Crane,Roof + Turkey + Bird,つる
珠,Pearl,King + Slide + Jet,じゅ
剛,Sturdy,Hill + Knife *,ごう
奨,Encourage,Commander + big *,しょう
勘,Intuition,Crab Trap + Power,かん
誓,Vow,Fingers + Axe + Say,ちか
煮,Boil,Someone + Boil *,に
淡,Faint,Tsunami + Firex2,たん
妃,"Princess, Queen",Woman + Oneself,ひ
覆,"Capsize, Cover",Helicopter + Loiter + Black Hole,おお
征,Subjugate,Loiter + Correct *,せい
拓,Cultivation,Fingers + Stone,たく
悟,Comprehension,Soul + Five + Mouth,ご
概,Approximation,Tree + Root + Fang,がい
唯,Solely,Mouth + Turkey,ゆい
浸,Immersed,Tsunami + Wolverine + Forehead + Stool,ひた
漂,Drift,Tsunami + Helicopter + Jackhammer,ただよ
偶,Accidentally,Leader + Splinter,ぐう
伯,Chief,Leader + White,はく
訂,Revise,Say + Street,てい
壮,Robust,Icicle + Samurai,そう
巧,Adept,Construction + Beggar,こう
墳,Tomb,Dirt + Cross + Flowers + Shellfish,ふん
簿,Record Book,Bamboo + Tsunami + Specialty *,ぼ
搬,Transport,Fingers + Boat + Weapon,はん
涯,Horizon,Tsunami + Cliff + Dirtx2,がい
疫,Epidemic,Sick + Weapon,えき
彰,Patent,chapter + Hair **,しょう
把,"Bundle, Grasp",Fingers + Bed,は
邪,Wicked,Fang + Building,じゃ
淀,Eddy,Tsunami + Roof + Correct *,よど
鰐,Alligator,Fish + Mouthx2 + Ground + Beggar,わに
峰,Summit,Mountain + Winter + Signpost,みね
唐,"China, Sudden",Mullet + Brush + Mouth,とう
亭,Restaurant,restaurant,てい
堰,Dam,Dirt + Cage + Sun + Woman,せき
晶,Crystal,Sunx3,しょう
后,Empress,Cliff + Ground + Mouth,ごう
洞,Cave,Tsunami + Same *,どう
廷,Courts,Yoga + King,てい
鬱,Gloom,Treex2 + Can + Treasure chest + Spoon + Hair,うつ
蟹,Crab,Angle + Sword + Cow + Insect *,かに
漫,Manga,Tsunami + Sun + Net + Stool,まん
軌,Rut,Car + Nine,き
諮,Consult,Say + Next + Mouth *,し
仰,Look Up To,Leader + Cat Pirate,あお
奮,Stirred Up,Big + Turkey + Rice Paddy,ふん
翻,Flip,Number + Feathers *,ほん
堤,Embankment,Dirt + Sun + Correct *,てい
銘,Inscription,Gold + Name *,めい
駄,Burdensome,Horse + Fat *,だ
頂,"Summit, Humbly",Street + Geoduck,ちょう
聡,Wise,Ear + Public + Heart *,そう
隅,Corner,Building + Splinter,すみ
燥,Dry Up,Fire + Syrup,そう
媛,"Princess, Beautiful Woman",Woman + Football,ひめ
邸,Residence,Clan + Ground + Building,てい
隻,Ship Counter,Turkey + Stool,せき
貞,Chastity,Toe + Shellfish,てい
肯,"Agreement, Consent",Stop + Moon,こう
肪,Obese,Moon + Direction,ぼう
釈,Explanation,Sickle + Shrimp,しゃく
膚,Skin,Tiger + Stomach *,ふ
脂,Fat,Moon + Spoon + Sun,し
喚,"Scream, Yell",Mouth + Prison + Legs + Big,かん
軒,House Counter,Car + Dry,のき
軟,Soft,Car + Lack,なん
渦,Whirlpool,Tsunami + Mustachex2,うず
郊,Suburbs,Mix + Building *,こう
苗,"Seedling, Sapling",Flowers + Rice Paddy,みょう
瓶,Bottle,Horns + Lantern + Ten Thousand + Drop + Ground *,なえ
玄,Mysterious,Mysterious,げん
沸,Boil,Tsunami + Dollar,わ
亮,Clear,Lid + Mouth + Forehead + Legs,りょう
濯,Wash,Tsunami + Wolverine + Turkey,たく
襟,Collar,Spirit + Treex2 + Jackhammer,えり
耕,Plow,Plow + Well,こう
偉,Greatness,Leader + Korea,い
浦,Bay,Tsunami + Wedding,うら
枯,Wither,Tree + Old,か
召,Call,Joker,め
慈,Mercy,Horns + Ground + Trashx2 + Heart,じ
郡,"County, District",Buddy + Building *,ぐん
塚,Mound,Dirt + Forehead + Pig,づか
挟,Between,Fingers + Husband + Horns,はさ
蓮,Lotus,Flowers + Treadmill + Car,はす
颯,"Quick, Sudden",Stand + Wind *,さっ
遭,"Encounter, Meet",Treadmill + Music + Sun *,そう
噴,Erupt,Mouth + Cross + Flowers + Shellfish,ふん
鎖,Chain,Gold + Triceratops + Shellfish,くさり
偏,Biased,Leader + Library,へん
貫,"Pierce, Sushi Counter",Window + Shellfish,つらぬ
綾,Design,Thread + Frostbite,あや
孤,"Orphan, Alone",Child + Melon,こ
陥,Cave In,Building + Prison + Stick + Sun,かん
賠,"Compensation, Compensate",Shellfish + Clown,ばい
倫,Ethics,Leader + Hat + Ground + Bookshelf,りん
猟,Hunting,Animal + Grass + Task,りょう
擁,Embrace,Fingers + Lid + Trash + Turkey,よう
乃,From,Stairs,ない
祥,Auspicious,Spirit + Sheep,しょう
慢,"Ridicule, Laziness",Soul + Sun + Net + Stool,まん
輔,Help,Car + Wedding,ほ
茨,"Briar, Thorn",Flowers + Next *,いばら
恒,"Constant, Always",Soul + Ground + Dawn,こう
殊,Especially,Yakuza + Slide + Jet,しゅ
呂,Bath,Bathtub,ろ
覇,Leadership,Helicopter + Leather + Moon,は
秩,"Order, Regularity",Grain + Fault *,ちつ
芳,Perfume,Flowers + Direction,ほう
遇,Treatment,Treadmill + Splinter,ぐう
陳,Exhibit,Building + East *,ちん
牲,Offering,Cow + Life,せい
唆,Instigate,Mouth + Spider,さ
隼,Falcon,Turkey + Cross,はやぶさ
糧,Provisions,Rice + Dawn + Village,りょう
須,Necessary,Hair + Geoduck,す
惰,Lazy,Soul + Narwhal + Construction + Moon,だ
怠,"Lazy, Neglect",Private + Mouth + Heart,なま
膨,Swell,Moon + Dirt + Beans + Hair,ふく
没,Die,Tsunami + Weapon,ぼっ
鯉,"Carp, Koi",Fish + Village,こい
浄,"Cleanse, Purify",Tsunami + Conflict *,じょう
随,All,Building + Treadmill + Have *,ずい
駿,Speed,Horse + Spider,しゅん
戴,Receive,Cross + Drunkard + Rice Paddy + Blackjack + Fins,たい
丹,Rust Colored,Boat,たん
蒙,Darkness,Flowers + Forehead + Pig,もう
啓,Enlighten,Door + Winter + Mouth,けい
葵,Hollyhock,Flowers + Tent + Heaven,あおい
緋,Scarlet,Thread + Criminal,ひ
莉,Jasmine,Flowers + Grain + Knife,り
徐,Gently,Loiter + Surplus *,じょ
胞,"Cell, Placenta",Moon + Wrap *,ほう
虐,Oppress,Tiger + Wolverine,ぎゃく
諭,Admonish,Say + Death Star,ゆ
寛,Tolerance,Roof + Flowers + See,かん
准,Semi,Ice + Turkey,じゅん
披,Expose,Fingers + Skin *,ひ
搭,"Board, Embark",Fingers + Flowers + Suit,とう
艇,Rowboat,Boat + Yoga + King,てい
曙,Dawn,Sun + Net + Someone *,あけぼの
緯,Latitude,Thread + Korea,い
騰,Inflation,Moon + Train + Horse,とう
据,Install,Fingers + Flag + Old,す
舗,"Shop, Store",Cottage + Wedding *,ほ
瓜,Melon,Melon,いか
壌,"Soil, Earth",Dirt + Nurse,じょう
稿,Draft,Grain + Tall *,こう
諒,"Comprehend, Reality",Say + Capital *,りょう
胡,Barbarian,Old + Moon,こ
帥,Commander,Drop + Bear + Towel,すい
惨,Disaster,Soul + Private + Big + Hair,さん
繊,"Fiber, Slender",Thread + Cross + Drunkard + Spikes,せん
剰,Surplus,Mouth + Grain + Knife,じょう
錦,Brocade,Gold + White + Towel,にしき
且,Also,Top Hat,か
鯨,Whale,Fish + Capital *,げい
疾,Rapid,Sick + Arrow,しっ
逸,Deviate,Treadmill + Excuse,そ
栽,Planting,Plow + Drunkard,さい
茜,Red Dye,Flowers + West,あかね
叙,Describe,Surplus + Stool *,じょ
愚,Foolish,Splinter + Heart,ぐ
勲,Merit,Heavy + Power + Boil,くん
庶,"All, Bastard",Hick + Boil,しょ
荘,Villa,Flowers + Icicle + Samurai,そう
酬,Repay,Alcohol + Dropx3 + River,しゅう
卸,Wholesale,Noon + Stop + Stamp *,おろし
悠,Leisure,Leader + Stick + Winter + Heart,ゆう
尚,"Furthermore, Esteem",Triceratops + Mustache,なお
顕,"Appear, Existing",Sun + Spikes + Geoduck,けん
拐,Kidnap,Fingers + Mouth + Sword,かい
呈,"Present, Display",Mouth + King,てい
粛,Solemn,Wolverine + Stick + Rice + Legs,しゅく
紋,Family Crest,Thread + Writing,もん
疎,"Neglect, Sparse",Coat Rack + Bundle,そ
謡,Noh Chanting,Say + Satellite,うたい
酷,"Cruel, Unjust",Alcohol + Announce *,ひど
痴,Stupid,Sick + Arrow + Mouth,ち
栞,Bookmark,Dryx2 + Tree,しおり
呆,Shock,Mouth + Tree,ほ
冠,"Crown, Cap",Forehead + Origin + Measurement,かん
践,"Practice, Trample",Foot + Bar,せん
阿,Flatter,Building + Lip Ring,あ
欄,"Column, Space",Tree + Gate + East *,らん
哺,"Nurse, Suckle",Mouth + Wedding,ほ
杏,Apricot,Tree + Mouth,あんず
鎌,"Sickle, Scythe",Gold + Mona Lisa,かま
傲,Proud,Leader + Dirt + Direction + Winter,ごう
茎,Stem,Flowers + Tombstone,くき
旦,Dawn,Dawn,たん
惜,Frugal,Soul + Long Ago *,お
尿,"Urine, Pee",Flag + Water,にょう
癒,"Healing, Cure",Sick + Death Star + Heart,ゆ
悼,"Grieve, Mourn",Soul + Toe + Early *,とう
憂,Grief,Ground + Self + Forehead + Heart + Winter,ゆう
栃,Horse Chestnut,Tree + Cliff + Ten Thousand *,とち
髄,"Marrow, Bone Marrow",Bone + Treadmill + Have *,ずい
那,What,Sword + Two + Building,な
抹,Erase,Fingers + Jet,まっ
累,Accumulate,Rice Paddy + Thread,るい
粗,Coarse,Rice + Top Hat,そ
憾,"Remorse, Regret",Soul + Feeling *,かん
之,This,Hills + Drop,の
赴,"Proceed, Move On",Run + Toe,ふ
伏,"Bow, Lay",Leader + Dog,ふく
栓,"Cork, Plug",Tree + Hat + King,せん
鎮,Tranquilize,Gold + Reality *,ちん
傍,"Nearby, Side",Leader + Lid + Fins + Forehead + Direction,かたわ
瑛,Crystal,King + Flowers + Center *,えい
遼,Distant,Treadmill + Charcoal,りょう
奉,Dedicate,Train + Two + Stick,ほう
脊,"Stature, Height",Explosion + Person + Moon,せき
昌,Prosperous,Sun,しょう
弥,Increasing,Bow + Gun + Small,み
佳,"Excellent, Skilled",Leader + Dirtx2,か
凝,"Congeal, Freeze, Absorbed In",Ice + Doubt *,じっ
該,"The Above, That Specifically",Say + Slice,がい
朴,"Simple, Crude",Tree + Toe,ぼく
循,"Circulation, Sequential",Loiter + Cliff + Pope,じゅん
郭,Enclosure,Sock + Building,かく
愉,Pleasant,Soul + Death Star,ゆ
虜,Captive,Tiger + Man *,りょ
賓,"VIP, Guest",Roof + Ground + Few + Shellfish *,ひん
龍,"Imperial, Dragon",Imperial,りゅう
碑,Tombstone,Stone + Slide + Rice Paddy + Cross,いしぶみ
呉,"Give, Do For",Catapult,く
穀,Grain,Samurai + Forehead + Grain + Weapon,こく
陵,"Mausoleum, Tomb",Building + Frostbite,みささぎ
縛,"Bind, Retrain",Thread + Drop + Specialty *,しば
飽,"Bored, Sated",Eat + Wrap *,あ
洪,Flood,Tsunami + Together *,こう
搾,Squeeze,Fingers + Hole + Key,さく
窮,Destitute,Hole + Body + Bow *,きゅう
猶,Still,Animal + Horns + Alcohol,ゆう
宰,Manager,Roof + Spicy,さい
拍,Beat,Fingers + White,はく
庸,Common,Mullet + Brush + Task,よう
恭,Respect,Together + Small + Drop *,きょう
錯,"Confused, Mixed",Gold + Blackjack + Sun,さく
縫,Sew,Thread + Treadmill + Winter + Signpost,ぬ
弦,"Chord, Bowstring",Bow + Mysterious,つる
凡,Mediocre,Table + Drop,あら
遥,"Far Off, Far Away",Treadmill + Satellite,はる
尉,"Military Officer, Military Rank",Flag + Jackhammer + Measurement,い
摂,In Addition,Fingers + Ear + Explosion,せっ
智,Wisdom,Arrow + Mouth + Sun,ち
舶,Ship,Boat + White,はく
紳,Gentleman,Thread + Humble,しん
蝶,Butterfly,Insect + World + Tree,ちょう
轄,Control,Car + Roof + King + Mouth,かつ
悦,"Delight, Joy",Soul + Guard,えつ
柴,"Brushwood, Firewood",Stop + Spoon + Tree,しば
匠,Artisan,Cage + Axe,しょう
凛,Cold,Ice + Lid + Times + Jackhammer *,りん
嘉,Esteem,Drum + Power + Mouth,か
靖,Peaceful,Stand + Blue,やす
寂,Lonely,Roof + Above + Small + Stool *,さび
窒,Suffocate,Hole + Mole,ちっ
弊,Evil,penguin + Twenty,へい
漬,"Pickle, Soak",Tsunami + Life + Shellfish,つ
喝,Scold,Mouth + Sun + Prison + Spoon,かっ
羅,"Spread Out, Arrange",Net + Thread + Turkey,ら
腸,"Intestines, Guts",Moon + Easy,ちょう
膜,Membrane,Moon + Greenhouse,まく
胎,"Womb, Uterus",Moon + Machine *,たい
遮,Intercept,Treadmill + Hick + Boil,さえぎ
醸,Brew,Alcohol + Nurse,じょう
酵,Ferment,Alcohol + Teacher,こう
哉,"Question Mark, ?",Dirt + Mouth + Drunkard,かな
蒼,"Pale, Blue",Flowers + Warehouse,そう
伐,"Fell, Attack",Leader + Drunkard,ばっ
旋,"Rotation, Revolution",Direction + Gun + Coat Rack,せん
瑠,Lapis Lazuli,King + Private + Sword + Rice Paddy,る
敢,Daring,Elf + Winter,かん
凹,"Concave, Hollow",Concave,くぼ
鼓,Beat,Drum + Branch,こ
萌,Sprout,Flowers + Bright *,も
盲,Blind,Death + Eye,もう
楓,Maple,Tree + Wind *,かえで
峡,Ravine,Mountain + Husband + Horns,きょう
凸,"Convex, Uneven",Convex,でこ
俸,Salary,Leader + Train + Two + Stick,ほう
衡,Equilibrium,Go + Prison + Rice Paddy + Big,こう
遍,Universal,Treadmill + Library,へん
紺,"Navy, Dark Blue",Thread + Sweet,こん
弔,Condolence,Bow + Stick,ちょう
堕,Degenerate,Building + Have + Dirt *,だ
坪,Two Mat Area,Dirt + Peace *,つぼ
閲,Inspection,Gate + Guard,えつ
槽,"Tank, Vat",Tree + Ground + Music + Sun *,そう
乙,"Latter, B",Nose,おつ
款,Article,Samurai + Jackhammer + Lack,かん
賊,Robber,Shellfish + Drunkard + Cross,ぞく
烏,Crow,Bird,からす
菅,Sedge,Flowers + Roof + Bear,すげ
絹,Silk,Thread + Mouth + Moon,きぬ
酌,Serve,Alcohol + Pool,しゃく
迭,Alternate,Treadmill + Fault *,てつ
嘱,"Request, Entrust",Mouth + Flag + Mantis,しょく
錠,Lock,Gold + Roof + Coat Rack,じょう
鶏,Chicken,Cleat + Husband + Bird,とり
媒,Mediator,Woman + Sweet + Tree,ばい
享,Receive,Sock,きょう
濁,"Muddy, Impure",Tsunami + Net + Prison + Insect,にご
憤,Resent,Soul + Cross + Flowers + Shellfish,ふん
戯,Play,Tiger + Spikes + Drunkard,ぎ
漣,Ripples,Tsunami + Treadmill + Car,れん
奔,"Run, Bustle",Big + Cross + Twenty,ほん
慨,Sigh,Soul + Root + Fang,がい
陪,Accompany,Building + Clown,ばい
藩,Fiefdom,Flowers + Tsunami + Number *,はん
殻,"Husk, Shell",Samurai + Forehead + Table + Weapon,から
朽,"Rot, Decay",Tree + Ground + Prison,きゅう
肖,Resemblance,Triceratops + Moon,しょう
淑,Graceful,Tsunami + Above + Small + Stool *,しと
忌,Mourning,Oneself + Heart,い
窃,Steal,Hole + Seven + Sword,せっ
暁,Dawn,Sun + Gambler,あかつき
赦,Pardon,Red + Winter,しゃ
硫,Sulfur,Stone + Boob + River,りゅう
椎,Oak,Tree + Turkey,しい
璃,Glassy,King + Rocket,り
剖,Divide,Clown + Knife,ぼう
扶,Aid,Fingers + Husband,ふ
瑞,Congratulations,King + Mountain + Rake,みず
帆,Sail,Towel + Table + Drop,ほ
傑,"Greatness, Excellence",Leader + Dance + Tree,けっ
譜,"Genealogy, Score",Say + Line Up + Sun *,ふ
凌,Endure,Ice + Frostbite,しの
姻,"Marry, Matrimony",Woman + Mouth + Big,こん
憧,"Long For, Yearn",Soul + Stand + Village,あこが
甚,"Very, Great",Crab Trap,はなは
鋳,"Cast, Casting",Gold + Slide + Three + Measurement,ちゅう
汰,Select,Tsunami + Fat *,た
慶,Congratulate,Mullet + Helicopter + Barb + Heart + Winter,よろこ
蔑,"Scorn, Neglect",Flowers + Net + Slide + Drunkard + Drop,べつ
胆,Guts,Moon + Dawn,たん
閑,Leisure,Gate + Tree,かん
睦,Friendly,Eye + Womb,ぼく
擬,Imitate,Fingers + Doubt *,ぎ
叔,Uncle. Aunt,Above + Small + Stool *,おじ
屯,Barracks,Barracks,とん
礁,Reef,Stone + Turkey + Boil,しょう
亜,Asia,Tie Fighter,あ
沙,Sand,Tsunami + Few *,さ
酪,Dairy,Alcohol + Kiss,らく
曹,Official,Ground + Music + Sun *,そう
漆,"Lacquer, Varnish",Tsunami + Tree + Hat + Water,しっ
梓,Wood Block,Tree + Spicy,あずさ
岬,Cape,Mountain + Turtle Shell,みさき
吟,Recital,Mouth + Now,ぎん
遷,Transition,Treadmill + Helicopter + Big + Oneself,せん
侮,Despise,Leader + Every *,ぶ
堪,Endure,Dirt + Crab Trap,たま
雌,Female,Stop + Spoon + Turkey,めす
崇,"Worship, Revere",Mountain + Roof + Jackhammer,すう
峠,Ridge,Mountain + Above + Below *,とうげ
禍,"Evil, Misfortune",Spirit + Mustachex2,か
卑,"Lowly, Base",Drop + Rice Paddy + Cross,ひ
拙,Clumsy,Fingers + Exit,せっ
紡,Spinning,Thread + Direction,ぼう
詠,"Compose, Recite",Say + Water + Drop,うた
篤,Deliberate,Bamboo + Horse,とく
浪,Wander,Tsunami + Good *,ろう
唄,Shamisen Song,Mouth + Shellfish,うた
某,Certain,Sweet + Tree,ぼう
囚,Criminal,Mouth + Person,しゅう
廉,Bargain,Mullet + Mona Lisa,れん
桟,Jetty,Tree + Bar,さん
寡,Widow,Roof + Geoduck + Ground + Sword,か
渓,Valley,Tsunami + Cleat + Husband,けい
煩,Annoy,Fire + Geoduck,うるさ
醜,Ugly,Alcohol + Demon,みにく
逝,Die,Treadmill + Fingers + Axe,せい
倹,Thrifty. Frugal,Leader + Squid,けん
漸,Gradually,Tsunami + Car + Axe,ようや
痢,Diarrhea,Sick + Grain + Knife,り
匿,Hide,Cage + Flowers + Right *,とく
狐,Fox,Animal + Melon,きつね
湧,Well,Tsunami + Courage *,わ
殉,Martyr,Yakuza + Prison + Sun,じゅん
慕,"Yearn For, Adore",Greenhouse + Small + Drop,した
拷,Torture,Fingers + Coffin + Beggar,ごう
蛮,Barbarian,Red + Insect,ばん
坑,Pit,Dirt + Lid + Table,こう
升,"Grid, Measure",Slide + Twenty,ます
妄,Reckless,Death + Woman,もう
泌,Secrete,Tsunami + Certain *,ぴつ
婿,Groom,Woman + Coat Rack + Moon,むこ
藻,Seaweed,Flowers + Tsunami + Syrup,も
謹,Humble,Say + Boot,きん
畔,Shore,Rice Paddy + Half *,はん
藍,Indigo,Flowers + Oversee *,ぼろ
矯,Correct,Arrow + Heaven + Mouth + Mustache,きょう
劾,Censure,Slice + Power,がい
罷,Quit,Net + Ability *,ひ
